,Date,Week_day,Open,Close,Change
0,2022-01-01,Saturday,47194.73,47480.45,0.006054065782344686
1,2022-01-02,Sunday,47173.44,47419.57,0.0052175546239578985
2,2022-01-03,Monday,47051.36,46383.05,-0.014203840229060294
3,2022-01-04,Tuesday,46549.99,46698.37,0.00318754096402607
4,2022-01-05,Wednesday,46407.5,46673.19,0.0057251521844530195
5,2022-01-06,Thursday,43245.26,42863.02,-0.008838887776371429
6,2022-01-07,Friday,41706.71,41696.34,-0.00024864104600919035
7,2022-01-08,Saturday,41913.59,41532.41,-0.009094424982445837
8,2022-01-09,Sunday,41791.5,41736.01,-0.0013277819652320888
9,2022-01-10,Monday,42042.38,41725.56,-0.007535729423500781
10,2022-01-11,Tuesday,42212.21,42463.52,0.005953490708020315
11,2022-01-12,Wednesday,42561.66,43516.52,0.022434745261345368
12,2022-01-13,Thursday,43699.99,43327.05,-0.00853409806272254
13,2022-01-14,Friday,42660.0,42977.21,0.007435771214252096
14,2022-01-15,Saturday,43088.12,43279.89,0.004450646721184226
15,2022-01-16,Sunday,43202.21,43400.8,0.00459675558264272
16,2022-01-17,Monday,42656.03,42333.6,-0.0075588375195723145
17,2022-01-18,Tuesday,42065.42,41552.43,-0.012195052373184412
18,2022-01-19,Wednesday,41287.1,41849.09,0.013611757667649105
19,2022-01-20,Thursday,42058.31,43294.32,0.02938800917107698
20,2022-01-21,Friday,39136.31,38941.96,-0.004965976608423239
21,2022-01-22,Saturday,35400.01,35261.65,-0.003908473472182705
22,2022-01-23,Sunday,35571.19,35180.01,-0.01099710186811298
23,2022-01-24,Monday,34887.9,34449.67,-0.01256108851492932
24,2022-01-25,Tuesday,36044.01,36775.75,0.02030129278068671
25,2022-01-26,Wednesday,37338.6,38127.59,0.021130679779102435
26,2022-01-27,Thursday,36177.17,36431.74,0.007036758264949983
27,2022-01-28,Friday,36799.82,37149.97,0.009514992192896532
28,2022-01-29,Saturday,37836.98,37504.68,-0.008782413395572397
29,2022-01-30,Sunday,38244.98,37914.47,-0.008641918494924128
30,2022-01-31,Monday,37121.84,37827.51,0.019009564181085903
31,2022-02-01,Tuesday,38440.76,38883.81,0.01152552655046346
32,2022-02-02,Wednesday,38282.14,37239.02,-0.027248215486386118
33,2022-02-03,Thursday,37024.16,36885.04,-0.0037575464237407097
34,2022-02-04,Friday,37869.31,40349.48,0.06549287536530257
35,2022-02-05,Saturday,41379.99,41598.94,0.005291204758628654
36,2022-02-06,Sunday,41612.32,41566.21,-0.0011080852978156974
37,2022-02-07,Monday,42723.91,43764.11,0.024347022545455177
38,2022-02-08,Tuesday,44855.0,43590.78,-0.02818459480548441
39,2022-02-09,Wednesday,43807.75,43791.4,-0.00037322163315844925
40,2022-02-10,Thursday,44092.43,45439.71,0.030555811961372914
41,2022-02-11,Friday,43359.24,43568.26,0.004820656450620575
42,2022-02-12,Saturday,42103.94,42362.33,0.006136955353821971
43,2022-02-13,Sunday,42412.39,42291.83,-0.002842565580482459
44,2022-02-14,Monday,42314.42,42741.42,0.010091122600758728
45,2022-02-15,Tuesday,43691.57,44088.98,0.00909580498022855
46,2022-02-16,Wednesday,44184.19,43571.14,-0.013874872437403596
47,2022-02-17,Thursday,43919.46,41948.59,-0.04487464099057692
48,2022-02-18,Friday,40665.81,40159.86,-0.012441655533235396
49,2022-02-19,Saturday,40263.7,40183.88,-0.001982430824787551
50,2022-02-20,Sunday,38796.63,38422.39,-0.009646198651790061
51,2022-02-21,Monday,39294.06,38783.92,-0.012982623836783502
52,2022-02-22,Tuesday,36771.65,37650.01,0.023886880246059228
53,2022-02-23,Wednesday,38151.16,38515.67,0.009554362174046371
54,2022-02-24,Thursday,35312.04,36140.05,0.02344837624787477
55,2022-02-25,Friday,38466.25,39294.68,0.021536541773632845
56,2022-02-26,Saturday,39200.0,39196.63,-8.596938775518037e-05
57,2022-02-27,Sunday,38790.92,39013.93,0.005749025802945784
58,2022-02-28,Monday,38347.58,41159.99,0.07333996043557356
59,2022-03-01,Tuesday,43492.96,43619.51,0.0029096663000174328
60,2022-03-02,Wednesday,43973.09,44323.01,0.007957594064915696
61,2022-03-03,Thursday,43477.04,42664.95,-0.018678594494933476
62,2022-03-04,Friday,41436.98,40674.59,-0.01839878292288688
63,2022-03-05,Saturday,39016.74,39264.25,0.006343687350609084
64,2022-03-06,Sunday,39387.56,39285.38,-0.0025942201040125568
65,2022-03-07,Monday,37895.24,39389.34,0.03942711538441235
66,2022-03-08,Tuesday,38547.79,38328.33,-0.0056931927874463994
67,2022-03-09,Wednesday,41791.1,42329.99,0.012894850817518622
68,2022-03-10,Thursday,39238.9,39149.99,-0.0022658637219699074
69,2022-03-11,Friday,39132.1,38724.39,-0.010418812177215075
70,2022-03-12,Saturday,39104.99,39118.59,0.00034778170253968455
71,2022-03-13,Sunday,39089.76,38939.55,-0.0038426943526898016
72,2022-03-14,Monday,39078.91,38998.57,-0.002055840349692528
73,2022-03-15,Tuesday,38439.5,39176.76,0.019179749996748097
74,2022-03-16,Wednesday,39581.01,40135.14,0.013999895404386953
75,2022-03-17,Thursday,40726.06,40812.08,0.002112161107654442
76,2022-03-18,Friday,40570.67,41339.94,0.018961234803369198
77,2022-03-19,Saturday,41609.99,41929.36,0.007675320277654496
78,2022-03-20,Sunday,41863.99,41412.49,-0.010784925182716676
79,2022-03-21,Monday,41102.0,41140.6,0.0009391270497784987
80,2022-03-22,Tuesday,42215.95,42533.94,0.007532461072177865
81,2022-03-23,Wednesday,42107.73,42670.41,0.013362867103023701
82,2022-03-24,Thursday,43077.75,43939.99,0.020015901480462617
83,2022-03-25,Friday,43904.97,44443.01,0.012254649075036372
84,2022-03-26,Saturday,44510.07,44247.81,-0.0058921497989107285
85,2022-03-27,Sunday,44734.06,44839.12,0.0023485460519345747
86,2022-03-28,Monday,46989.24,47400.77,0.008757962461193314
87,2022-03-29,Tuesday,47344.45,47369.76,0.0005345927558564334
88,2022-03-30,Wednesday,47384.44,47181.99,-0.004272499580030953
89,2022-03-31,Thursday,47160.75,45953.2,-0.02560497871641143
90,2022-04-01,Friday,45015.68,46501.91,0.03301582915108692
91,2022-04-02,Saturday,46584.49,46347.86,-0.005079587648163519
92,2022-04-03,Sunday,46363.83,46311.0,-0.0011394658292898097
93,2022-04-04,Monday,46174.0,45736.55,-0.00947394637674881
94,2022-04-05,Tuesday,46710.0,45857.0,-0.018261614215371424
95,2022-04-06,Wednesday,45276.04,43853.56,-0.03141794202849901
96,2022-04-07,Thursday,43445.34,43402.62,-0.0009833045385303496
97,2022-04-08,Friday,43763.53,43655.61,-0.0024659802351409965
98,2022-04-09,Saturday,42481.08,42413.71,-0.0015858824681482808
99,2022-04-10,Sunday,42633.59,42675.6,0.0009853732702314044
100,2022-04-11,Monday,42305.74,40514.24,-0.042346499553015726
