,Date,Week_day,Open,Close,Change
0,2022-01-01,Saturday,47024.11,47391.82,0.007819605729911805
1,2022-01-02,Sunday,47056.24,47007.14,-0.0010434322844323773
2,2022-01-03,Monday,47083.72,45922.0,-0.02467349648668371
3,2022-01-04,Tuesday,46905.53,46264.92,-0.013657451477469773
4,2022-01-05,Wednesday,46402.91,43967.01,-0.05249455260456726
5,2022-01-06,Thursday,42882.96,43221.5,0.007894511013232242
6,2022-01-07,Friday,41857.99,41922.2,0.0015339962573452937
7,2022-01-08,Saturday,41886.76,40975.37,-0.02175842676779005
8,2022-01-09,Sunday,41595.22,42439.38,0.020294639624456767
9,2022-01-10,Monday,39900.28,41714.72,0.04547436759842283
10,2022-01-11,Tuesday,41369.62,42800.38,0.03458479918355528
11,2022-01-12,Wednesday,43799.46,43819.17,0.00045000554801366555
12,2022-01-13,Thursday,44189.53,42796.18,-0.03153122470413239
13,2022-01-14,Friday,42286.17,43100.94,0.0192680018076834
14,2022-01-15,Saturday,42942.61,43485.0,0.012630578346309207
15,2022-01-16,Sunday,43241.03,43029.01,-0.00490321345259348
16,2022-01-17,Monday,42708.79,42083.47,-0.014641482467660616
17,2022-01-18,Tuesday,41511.99,41784.27,0.006559068837701965
18,2022-01-19,Wednesday,42201.59,41631.4,-0.013511102306808742
19,2022-01-20,Thursday,42401.6,42723.71,0.007596647296328474
20,2022-01-21,Friday,38604.42,38355.16,-0.006456773602608101
21,2022-01-22,Saturday,35496.85,35287.51,-0.005897424701064913
22,2022-01-23,Sunday,35619.99,35300.13,-0.008979789157717355
23,2022-01-24,Monday,33603.99,37220.05,0.1076080548768168
24,2022-01-25,Tuesday,36590.27,36859.79,0.007365892626646442
25,2022-01-26,Wednesday,38401.59,37015.05,-0.03610631747279203
26,2022-01-27,Thursday,36896.2,35583.5,-0.03557818962386361
27,2022-01-28,Friday,37054.8,37758.01,0.018977568358215402
28,2022-01-29,Saturday,38113.58,38340.03,0.005941451839475587
29,2022-01-30,Sunday,37793.24,37684.45,-0.0028785571176220826
30,2022-01-31,Monday,37354.2,38450.62,0.029351987192872686
31,2022-02-01,Tuesday,38903.72,38512.08,-0.010066903627724999
32,2022-02-02,Wednesday,38346.21,37566.0,-0.020346469703264036
33,2022-02-03,Thursday,36558.53,36367.4,-0.005228054847938313
34,2022-02-04,Friday,37778.4,40588.0,0.07437053977934482
35,2022-02-05,Saturday,41448.83,41644.0,0.004708697446948351
36,2022-02-06,Sunday,41783.42,41569.99,-0.005108006955869104
37,2022-02-07,Monday,42930.03,44131.88,0.02799555462691261
38,2022-02-08,Tuesday,43597.45,44271.95,0.01547108833200106
39,2022-02-09,Wednesday,43975.65,44765.18,0.01795379943218567
40,2022-02-10,Thursday,43523.0,44102.4,0.013312501436022472
41,2022-02-11,Friday,43598.64,42338.66,-0.028899525306293916
42,2022-02-12,Saturday,42057.06,42622.67,0.013448633832227053
43,2022-02-13,Sunday,42487.0,42441.44,-0.0010723280062135965
44,2022-02-14,Monday,42653.83,42180.5,-0.011097010514647843
