;Date;Week_day;Open;Close;Change
0;1/01/22;Saturday; 46,216.93 ; 47,192.55 ;2.11%
1;2/01/22;Sunday; 47,722.66 ; 47,081.28 ;-1.34%
2;3/01/22;Monday; 47,286.18 ; 47,078.64 ;-0.44%
3;4/01/22;Tuesday; 46,446.10 ; 46,151.66 ;-0.63%
4;5/01/22;Wednesday; 45,832.01 ; 46,302.80 ;1.03%
5;6/01/22;Thursday; 43,451.14 ; 43,050.01 ;-0.92%
6;7/01/22;Friday; 43,082.30 ; 41,851.33 ;-2.86%
7;8/01/22;Saturday; 41,566.48 ; 41,971.70 ;0.97%
8;9/01/22;Sunday; 41,679.74 ; 41,765.90 ;0.21%
9;10/01/22;Monday; 41,864.62 ; 42,031.29 ;0.40%
10;11/01/22;Tuesday; 41,822.49 ; 42,110.00 ;0.69%
11;12/01/22;Wednesday; 42,729.29 ; 42,705.51 ;-0.06%
12;13/01/22;Thursday; 43,902.65 ; 43,662.68 ;-0.55%
13;14/01/22;Friday; 42,558.35 ; 42,894.92 ;0.79%
14;15/01/22;Saturday; 43,059.96 ; 42,985.96 ;-0.17%
15;16/01/22;Sunday; 43,084.29 ; 42,958.69 ;-0.29%
16;17/01/22;Monday; 43,071.66 ; 42,664.68 ;-0.94%
17;18/01/22;Tuesday; 42,201.63 ; 42,097.25 ;-0.25%
18;19/01/22;Wednesday; 42,352.12 ; 41,762.55 ;-1.39%
19;20/01/22;Thursday; 41,660.00 ; 41,879.20 ;0.53%
20;21/01/22;Friday; 40,680.92 ; 38,909.01 ;-4.36%
21;22/01/22;Saturday; 36,445.31 ; 35,738.77 ;-1.94%
22;23/01/22;Sunday; 35,071.42 ; 35,456.40 ;1.10%
23;24/01/22;Monday; 36,244.55 ; 35,184.06 ;-2.93%
24;25/01/22;Tuesday; 36,660.35 ; 36,054.81 ;-1.65%
25;26/01/22;Wednesday; 36,958.32 ; 37,600.00 ;1.74%
26;27/01/22;Thursday; 36,807.24 ; 35,973.39 ;-2.27%
27;28/01/22;Friday; 37,160.11 ; 37,205.60 ;0.12%
28;29/01/22;Saturday; 37,716.57 ; 37,653.72 ;-0.17%
29;30/01/22;Sunday; 38,166.83 ; 38,139.39 ;-0.07%
30;31/01/22;Monday; 37,881.75 ; 37,001.65 ;-2.32%
31;1/02/22;Tuesday; 38,466.90 ; 38,452.90 ;-0.04%
32;2/02/22;Wednesday; 38,694.59 ; 38,416.38 ;-0.72%
33;3/02/22;Thursday; 36,896.37 ; 36,991.62 ;0.26%
34;4/02/22;Friday; 37,311.98 ; 37,547.01 ;0.63%
35;5/02/22;Saturday; 41,571.70 ; 41,525.27 ;-0.11%
36;6/02/22;Sunday; 41,382.60 ; 41,572.96 ;0.46%
37;7/02/22;Monday; 42,380.87 ; 42,798.10 ;0.98%
38;8/02/22;Tuesday; 43,839.99 ; 44,883.08 ;2.38%
39;9/02/22;Wednesday; 44,043.00 ; 43,584.93 ;-1.04%
40;10/02/22;Thursday; 44,372.71 ; 43,879.78 ;-1.11%
41;11/02/22;Friday; 43,495.44 ; 42,848.10 ;-1.49%
42;12/02/22;Saturday; 42,373.73 ; 42,272.01 ;-0.24%
43;13/02/22;Sunday; 42,217.87 ; 42,268.49 ;0.12%
44;14/02/22;Monday; 42,053.65 ; 41,778.62 ;-0.65%
45;15/02/22;Tuesday; 42,535.94 ; 43,573.44 ;2.44%
46;16/02/22;Wednesday; 44,544.85 ; 44,056.97 ;-1.10%
47;17/02/22;Thursday; 43,873.56 ; 43,617.40 ;-0.58%
48;18/02/22;Friday; 40,515.71 ; 40,625.63 ;0.27%
49;19/02/22;Saturday; 39,974.45 ; 40,237.75 ;0.66%
50;20/02/22;Sunday; 40,079.17 ; 39,349.91 ;-1.82%
51;21/02/22;Monday; 38,386.89 ; 39,228.67 ;2.19%
52;22/02/22;Tuesday; 37,008.16 ; 36,740.76 ;-0.72%
53;23/02/22;Wednesday; 38,230.33 ; 37,976.11 ;-0.66%
54;24/02/22;Thursday; 37,250.02 ; 34,680.85 ;-6.90%
55;25/02/22;Friday; 38,328.68 ; 38,453.38 ;0.33%
56;26/02/22;Saturday; 39,219.16 ; 39,021.48 ;-0.50%
57;27/02/22;Sunday; 39,116.73 ; 38,584.32 ;-1.36%
58;28/02/22;Monday; 37,699.08 ; 37,829.44 ;0.35%
59;1/03/22;Tuesday; 43,160.00 ; 43,210.25 ;0.12%
60;2/03/22;Wednesday; 44,421.20 ; 44,269.18 ;-0.34%
61;3/03/22;Thursday; 43,892.99 ; 43,316.87 ;-1.31%
62;4/03/22;Friday; 42,454.00 ; 41,374.45 ;-2.54%
63;5/03/22;Saturday; 39,148.65 ; 39,007.05 ;-0.36%
64;6/03/22;Sunday; 39,397.97 ; 39,486.44 ;0.22%
65;7/03/22;Monday; 38,420.80 ; 38,024.18 ;-1.03%
66;8/03/22;Tuesday; 37,988.01 ; 38,351.80 ;0.96%
67;9/03/22;Wednesday; 38,730.63 ; 41,515.86 ;7.19%
68;10/03/22;Thursday; 41,941.70 ; 39,209.53 ;-6.51%
69;11/03/22;Friday; 39,422.01 ; 38,771.50 ;-1.65%
70;12/03/22;Saturday; 38,729.57 ; 39,170.82 ;1.14%
