;Date;Week_day;Open;Close;Change
0;1/01/22;Saturday; 47,024.11 ; 47,391.82 ;0.78%
1;2/01/22;Sunday; 47,056.24 ; 47,007.14 ;-0.10%
2;3/01/22;Monday; 47,083.72 ; 45,922.00 ;-2.47%
3;4/01/22;Tuesday; 46,905.53 ; 46,264.92 ;-1.37%
4;5/01/22;Wednesday; 46,402.91 ; 43,967.01 ;-5.25%
5;6/01/22;Thursday; 42,882.96 ; 43,221.50 ;0.79%
6;7/01/22;Friday; 41,857.99 ; 41,922.20 ;0.15%
7;8/01/22;Saturday; 41,886.76 ; 40,975.37 ;-2.18%
8;9/01/22;Sunday; 41,595.22 ; 42,439.38 ;2.03%
9;10/01/22;Monday; 39,900.28 ; 41,714.72 ;4.55%
10;11/01/22;Tuesday; 41,369.62 ; 42,800.38 ;3.46%
11;12/01/22;Wednesday; 43,799.46 ; 43,819.17 ;0.05%
12;13/01/22;Thursday; 44,189.53 ; 42,796.18 ;-3.15%
13;14/01/22;Friday; 42,286.17 ; 43,100.94 ;1.93%
14;15/01/22;Saturday; 42,942.61 ; 43,485.00 ;1.26%
15;16/01/22;Sunday; 43,241.03 ; 43,029.01 ;-0.49%
16;17/01/22;Monday; 42,708.79 ; 42,083.47 ;-1.46%
17;18/01/22;Tuesday; 41,511.99 ; 41,784.27 ;0.66%
18;19/01/22;Wednesday; 42,201.59 ; 41,631.40 ;-1.35%
19;20/01/22;Thursday; 42,401.60 ; 42,723.71 ;0.76%
20;21/01/22;Friday; 38,604.42 ; 38,355.16 ;-0.65%
21;22/01/22;Saturday; 35,496.85 ; 35,287.51 ;-0.59%
22;23/01/22;Sunday; 35,619.99 ; 35,300.13 ;-0.90%
23;24/01/22;Monday; 33,603.99 ; 37,220.05 ;10.76%
24;25/01/22;Tuesday; 36,590.27 ; 36,859.79 ;0.74%
25;26/01/22;Wednesday; 38,401.59 ; 37,015.05 ;-3.61%
26;27/01/22;Thursday; 36,896.20 ; 35,583.50 ;-3.56%
27;28/01/22;Friday; 37,054.80 ; 37,758.01 ;1.90%
28;29/01/22;Saturday; 38,113.58 ; 38,340.03 ;0.59%
29;30/01/22;Sunday; 37,793.24 ; 37,684.45 ;-0.29%
30;31/01/22;Monday; 37,354.20 ; 38,450.62 ;2.94%
31;1/02/22;Tuesday; 38,903.72 ; 38,512.08 ;-1.01%
32;2/02/22;Wednesday; 38,346.21 ; 37,566.00 ;-2.03%
33;3/02/22;Thursday; 36,558.53 ; 36,367.40 ;-0.52%
34;4/02/22;Friday; 37,778.40 ; 40,588.00 ;7.44%
35;5/02/22;Saturday; 41,448.83 ; 41,644.00 ;0.47%
36;6/02/22;Sunday; 41,783.42 ; 41,569.99 ;-0.51%
37;7/02/22;Monday; 42,930.03 ; 44,131.88 ;2.80%
