Date,Week_day,Market,Start,Finish,Open,Close,Change,Change_pct,Volume
2018-01-01,Monday,tokyo,02:00:00,07:59:59,13203.0,13570.35,367.3500000000004,0.0278232219950012,4138.761619999999
2018-01-01,Monday,london,08:00:00,14:29:59,13569.98,12927.0,-642.9799999999996,-0.0473825311459559,4554.7295030000005
2018-01-01,Monday,new_york,14:30:00,20:59:59,12927.01,13399.24,472.2299999999996,0.0365304892624047,3900.058195
2018-01-02,Tuesday,tokyo,02:00:00,07:59:59,13611.93,13343.0,-268.9300000000003,-0.0197569338073293,4839.520288000001
2018-01-02,Tuesday,london,08:00:00,14:29:59,13343.01,13760.0,416.9899999999998,0.0312515691736721,5630.405615
2018-01-02,Tuesday,new_york,14:30:00,20:59:59,13760.0,14751.0,991.0,0.0720203488372093,5130.788142
2018-01-03,Wednesday,tokyo,02:00:00,07:59:59,14847.97,15170.0,322.03000000000065,0.0216884867089575,4565.643388
2018-01-03,Wednesday,london,08:00:00,14:29:59,15170.0,14957.02,-212.9799999999996,-0.0140395517468687,4671.591247
2018-01-03,Wednesday,new_york,14:30:00,20:59:59,14958.89,14926.01,-32.8799999999992,-0.0021980240512496,5108.215094
2018-01-04,Thursday,tokyo,02:00:00,07:59:59,15175.0,14748.0,-427.0,-0.0281383855024711,5805.810820000001
2018-01-04,Thursday,london,08:00:00,14:29:59,14734.07,14451.86,-282.2099999999991,-0.0191535672085173,5878.865665
2018-01-04,Thursday,new_york,14:30:00,20:59:59,14451.85,14799.02,347.1700000000001,0.0240225299875103,4986.643456000001
2018-01-05,Friday,tokyo,02:00:00,07:59:59,15038.04,14920.14,-117.90000000000146,-0.0078401174621162,4949.477440000001
2018-01-05,Friday,london,08:00:00,14:29:59,14916.95,16145.89,1228.9399999999987,0.0823854742423886,4795.942916000001
2018-01-05,Friday,new_york,14:30:00,20:59:59,16145.89,16668.36,522.4700000000012,0.0323593186872945,4254.207062
2018-01-06,Saturday,tokyo,02:00:00,07:59:59,17025.03,16518.0,-507.0299999999989,-0.029781445319039,4491.583253
2018-01-06,Saturday,london,08:00:00,14:29:59,16500.18,16369.8,-130.38000000000102,-0.0079017319811057,6624.684743
2018-01-06,Saturday,new_york,14:30:00,20:59:59,16369.8,16784.0,414.2000000000007,0.0253026915417415,4126.545942
2018-01-07,Sunday,tokyo,02:00:00,07:59:59,16951.02,16746.99,-204.02999999999884,-0.0120364438246193,3854.458489
2018-01-07,Sunday,london,08:00:00,14:29:59,16747.0,16560.0,-187.0,-0.0111661790171373,4586.447361
2018-01-07,Sunday,new_york,14:30:00,20:59:59,16560.0,16145.01,-414.9899999999998,-0.0250597826086956,4725.841560999999
2018-01-08,Monday,tokyo,02:00:00,07:59:59,15850.08,15865.0,14.920000000000073,0.0009413201699928,4784.470817
2018-01-08,Monday,london,08:00:00,14:29:59,15864.99,14448.98,-1416.0100000000002,-0.0892537593783544,5046.85428
2018-01-08,Monday,new_york,14:30:00,20:59:59,14448.93,14899.7,450.7700000000005,0.0311974658331102,5428.294926
2018-01-09,Tuesday,tokyo,02:00:00,07:59:59,15242.34,15062.28,-180.0599999999995,-0.0118131468002944,6520.402402
2018-01-09,Tuesday,london,08:00:00,14:29:59,15062.28,14349.0,-713.2800000000007,-0.0473553804603287,5946.503948
2018-01-09,Tuesday,new_york,14:30:00,20:59:59,14369.98,14755.03,385.0500000000011,0.0267954443917111,5302.057503999999
2018-01-10,Wednesday,tokyo,02:00:00,07:59:59,14120.0,13979.0,-141.0,-0.0099858356940509,6060.023418999999
2018-01-10,Wednesday,london,08:00:00,14:29:59,13978.95,13786.19,-192.76000000000025,-0.0137893046330375,7565.906473999999
2018-01-10,Wednesday,new_york,14:30:00,20:59:59,13786.19,14480.16,693.9699999999993,0.0503380556919641,5538.546732999999
2018-01-11,Thursday,tokyo,02:00:00,07:59:59,14377.94,13530.42,-847.5200000000004,-0.0589458573342217,4083.069537
2018-01-11,Thursday,london,08:00:00,14:29:59,13530.42,13760.0,229.57999999999996,0.0169676920598178,5052.550875999999
2018-01-11,Thursday,new_york,14:30:00,20:59:59,13773.0,13400.0,-373.0,-0.0270819719741522,4626.609103
2018-01-12,Friday,tokyo,02:00:00,07:59:59,13392.56,13722.04,329.4800000000014,0.0246017191634759,3963.943367
2018-01-12,Friday,london,08:00:00,14:29:59,13722.04,13700.0,-22.040000000000877,-0.0016061751751198,3589.4241470000006
2018-01-12,Friday,new_york,14:30:00,20:59:59,13700.05,13899.98,199.9300000000003,0.0145933773964328,3519.5415570000005
2018-01-13,Saturday,tokyo,02:00:00,07:59:59,14184.97,14255.09,70.1200000000008,0.0049432603664301,3033.5494370000006
2018-01-13,Saturday,london,08:00:00,14:29:59,14250.0,14279.86,29.860000000000586,0.0020954385964913,3698.651942
2018-01-13,Saturday,new_york,14:30:00,20:59:59,14279.86,14143.0,-136.86000000000058,-0.0095841275754804,4325.838039
2018-01-14,Sunday,tokyo,02:00:00,07:59:59,14300.2,13590.0,-710.2000000000007,-0.0496636410679571,6238.759325999999
2018-01-14,Sunday,london,08:00:00,14:29:59,13590.0,13289.59,-300.40999999999985,-0.0221052244297277,6873.592433000001
2018-01-14,Sunday,new_york,14:30:00,20:59:59,13289.59,13357.98,68.38999999999942,0.0051461331764184,8762.153256
2018-01-15,Monday,tokyo,02:00:00,07:59:59,13460.81,13355.0,-105.80999999999948,-0.0078605967991525,12295.403710000002
2018-01-15,Monday,london,08:00:00,14:29:59,13346.34,14220.92,874.5799999999999,0.0655295758987108,13397.079216
2018-01-15,Monday,new_york,14:30:00,20:59:59,14220.92,13635.73,-585.1900000000005,-0.0411499396663507,12683.715546
2018-01-16,Tuesday,tokyo,02:00:00,07:59:59,12973.76,12347.32,-626.4400000000005,-0.0482851540339887,15522.072996000004
2018-01-16,Tuesday,london,08:00:00,14:29:59,12340.0,11574.08,-765.9200000000001,-0.0620680713128038,17975.064177
2018-01-16,Tuesday,new_york,14:30:00,20:59:59,11570.0,10650.18,-919.8199999999996,-0.0795004321521175,15056.992281
2018-01-17,Wednesday,tokyo,02:00:00,07:59:59,10670.63,10765.01,94.38000000000102,0.0088448385896615,13594.984203999998
2018-01-17,Wednesday,london,08:00:00,14:29:59,10777.93,9330.0,-1447.9300000000003,-0.1343421232091877,10944.391365999998
2018-01-17,Wednesday,new_york,14:30:00,20:59:59,9330.0,10901.06,1571.0599999999995,0.1683879957127545,11033.453084
2018-01-18,Thursday,tokyo,02:00:00,07:59:59,11377.78,10472.97,-904.8100000000012,-0.07952430087416,12125.493222
2018-01-18,Thursday,london,08:00:00,14:29:59,10461.71,11489.84,1028.130000000001,0.0982755209234438,10103.026411
2018-01-18,Thursday,new_york,14:30:00,20:59:59,11489.82,11510.34,20.52000000000044,0.001785928761286,7219.200106000001
2018-01-19,Friday,tokyo,02:00:00,07:59:59,11200.0,11069.72,-130.28000000000063,-0.0116321428571428,7349.928477000001
2018-01-19,Friday,london,08:00:00,14:29:59,11060.0,11512.0,452.0,0.040867992766727,8834.548401999999
2018-01-19,Friday,new_york,14:30:00,20:59:59,11513.0,11284.63,-228.3700000000008,-0.019835837748632,9460.47715
2018-01-20,Saturday,tokyo,02:00:00,07:59:59,11639.0,12660.98,1021.9799999999996,0.087806512586992,7757.787371999999
2018-01-20,Saturday,london,08:00:00,14:29:59,12660.98,12560.57,-100.40999999999984,-0.0079306657146602,8307.199839
2018-01-20,Saturday,new_york,14:30:00,20:59:59,12577.95,12784.81,206.8599999999988,0.0164462412396295,10802.210748
2018-01-21,Sunday,tokyo,02:00:00,07:59:59,12508.96,11701.14,-807.8199999999997,-0.0645793095509138,11580.214127
2018-01-21,Sunday,london,08:00:00,14:29:59,11721.43,11799.55,78.11999999999898,0.0066647158239223,9974.225278
